size,test_case,description,block_size,duration_ms,verification,blocks_even,threads_even,blocks_odd
50000,0,baseline_if_else,64,0.394,PASS,N/A,N/A,N/A
50000,0,baseline_if_else,128,0.448,PASS,N/A,N/A,N/A
50000,0,baseline_if_else,256,0.158,PASS,N/A,N/A,N/A
50000,0,baseline_if_else,512,0.164,PASS,N/A,N/A,N/A
50000,0,baseline_if_else,1024,0.161,PASS,N/A,N/A,N/A
50000,1,optimized_no_divergence,64,0.25,PASS,391,64,391
50000,1,optimized_no_divergence,128,0.237,PASS,196,128,196
50000,1,optimized_no_divergence,256,0.163,PASS,98,256,98
50000,1,optimized_no_divergence,512,0.182,PASS,49,512,49
50000,1,optimized_no_divergence,1024,0.169,PASS,25,1024,25
100000,0,baseline_if_else,64,0.151,PASS,N/A,N/A,N/A
100000,0,baseline_if_else,128,0.154,PASS,N/A,N/A,N/A
100000,0,baseline_if_else,256,0.256,PASS,N/A,N/A,N/A
100000,0,baseline_if_else,512,0.159,PASS,N/A,N/A,N/A
100000,0,baseline_if_else,1024,0.15,PASS,N/A,N/A,N/A
100000,1,optimized_no_divergence,64,0.155,PASS,782,64,782
100000,1,optimized_no_divergence,128,0.477,PASS,391,128,391
100000,1,optimized_no_divergence,256,0.164,PASS,196,256,196
100000,1,optimized_no_divergence,512,0.175,PASS,98,512,98
100000,1,optimized_no_divergence,1024,0.171,PASS,49,1024,49
500000,0,baseline_if_else,64,0.098,PASS,N/A,N/A,N/A
500000,0,baseline_if_else,128,0.275,PASS,N/A,N/A,N/A
500000,0,baseline_if_else,256,0.193,PASS,N/A,N/A,N/A
500000,0,baseline_if_else,512,0.212,PASS,N/A,N/A,N/A
500000,0,baseline_if_else,1024,0.123,PASS,N/A,N/A,N/A
500000,1,optimized_no_divergence,64,0.129,PASS,3907,64,3907
500000,1,optimized_no_divergence,128,0.203,PASS,1954,128,1954
500000,1,optimized_no_divergence,256,0.231,PASS,977,256,977
500000,1,optimized_no_divergence,512,0.119,PASS,489,512,489
500000,1,optimized_no_divergence,1024,0.401,PASS,245,1024,245
1000000,0,baseline_if_else,64,0.131,PASS,N/A,N/A,N/A
1000000,0,baseline_if_else,128,0.207,PASS,N/A,N/A,N/A
1000000,0,baseline_if_else,256,0.21,PASS,N/A,N/A,N/A
1000000,0,baseline_if_else,512,0.321,PASS,N/A,N/A,N/A
1000000,0,baseline_if_else,1024,0.21,PASS,N/A,N/A,N/A
1000000,1,optimized_no_divergence,64,0.165,PASS,7813,64,7813
1000000,1,optimized_no_divergence,128,0.227,PASS,3907,128,3907
1000000,1,optimized_no_divergence,256,0.14,PASS,1954,256,1954
1000000,1,optimized_no_divergence,512,0.168,PASS,977,512,977
1000000,1,optimized_no_divergence,1024,0.155,PASS,489,1024,489
5000000,0,baseline_if_else,64,0.352,PASS,N/A,N/A,N/A
5000000,0,baseline_if_else,128,0.341,PASS,N/A,N/A,N/A
5000000,0,baseline_if_else,256,0.355,PASS,N/A,N/A,N/A
5000000,0,baseline_if_else,512,0.536,PASS,N/A,N/A,N/A
5000000,0,baseline_if_else,1024,0.352,PASS,N/A,N/A,N/A
5000000,1,optimized_no_divergence,64,0.41,PASS,39063,64,39063
5000000,1,optimized_no_divergence,128,0.494,PASS,19532,128,19532
5000000,1,optimized_no_divergence,256,0.497,PASS,9766,256,9766
5000000,1,optimized_no_divergence,512,0.493,PASS,4883,512,4883
5000000,1,optimized_no_divergence,1024,0.481,PASS,2442,1024,2442
10000000,0,baseline_if_else,64,0.494,PASS,N/A,N/A,N/A
10000000,0,baseline_if_else,128,0.493,PASS,N/A,N/A,N/A
10000000,0,baseline_if_else,256,0.486,PASS,N/A,N/A,N/A
10000000,0,baseline_if_else,512,0.678,PASS,N/A,N/A,N/A
10000000,0,baseline_if_else,1024,0.531,PASS,N/A,N/A,N/A
10000000,1,optimized_no_divergence,64,0.792,PASS,78125,64,78125
10000000,1,optimized_no_divergence,128,0.787,PASS,39063,128,39063
10000000,1,optimized_no_divergence,256,0.789,PASS,19532,256,19532
10000000,1,optimized_no_divergence,512,0.776,PASS,9766,512,9766
10000000,1,optimized_no_divergence,1024,0.752,PASS,4883,1024,4883
