N,Order,Mode,Repetition_ID,Run_Type,Perf_Cache_Miss_Rate,Perf_IPC,Perf_L1-dcache-load-misses,Perf_branch-misses,Perf_branches,Perf_cache-misses,Perf_cache-references,Perf_cycles,Perf_dTLB-load-misses,Perf_instructions,Perf_task-clock,Gprof_Runtime_Mean_s,Gprof_Runtime_s
500,jik,io,1,Individual,nan,7.858915077100486,18178.0,3947.0,3947.0,,77099.0,440529.0,169.0,3462080.0,1683747.0,,0.0016355514526367188
500,jik,io,2,Individual,nan,7.641371202759119,18178.0,3980.0,3980.0,,53600.0,564818.0,45.0,4315984.0,1728221.0,,0.0022716522216796875
500,jik,io,3,Individual,nan,5.679121420350241,18199.0,3924.0,3924.0,,30835.0,759362.0,47.0,4312509.0,1672547.0,,0.0017282962799072266
500,jik,io,4,Individual,nan,nan,18199.0,3974.0,3974.0,,,0.0,427.0,4188650.0,1800476.0,,0.002087831497192383
500,jik,io,5,Individual,nan,0.3246401253603499,18256.0,3959.0,3959.0,,122698.0,736437.0,432.0,239077.0,1964444.0,,0.0021653175354003906
500,jik,io,AVG,Mean,nan,nan,18202.0,3956.8,3956.8,,71058.0,500229.2,224.0,3303660.0,1769887.0,0.0019777297973632814,
1000,ijk,cpu,1,Individual,0.46547532885926785,3.8017982755621778,1079515745.0,1047538.0,1047538.0,960528229.0,2063542726.0,10029833013.0,1270.0,38131401853.0,2273026519.0,,2.232778787612915
1000,ijk,cpu,2,Individual,0.4648693013742353,3.807134065064155,1077355117.0,1049574.0,1049574.0,955014184.0,2054371371.0,10028254993.0,4019.0,38178911197.0,2267585701.0,,2.207900285720825
1000,ijk,cpu,3,Individual,0.46639674565535266,3.8224234255443394,1075721447.0,1056718.0,1056718.0,962943479.0,2064644507.0,9980381818.0,487.0,38149245257.0,2256314000.0,,2.219775915145874
1000,ijk,cpu,4,Individual,0.4666534732067109,3.8296161580213868,1076676186.0,1047028.0,1047028.0,961999614.0,2061486026.0,9960944954.0,888.0,38146595745.0,2243548751.0,,2.2397494316101074
1000,ijk,cpu,5,Individual,0.4681043393896568,3.845794924467457,1078159418.0,1054032.0,1054032.0,966283606.0,2064248341.0,9923246117.0,1544.0,38162769551.0,2252644734.0,,2.2413885593414307
1000,ijk,cpu,AVG,Mean,0.4662998376970447,3.8213533697319035,1077485582.6,1050978.0,1050978.0,961353822.4,2061658594.2,9984532179.0,1641.6,38153784720.6,2258623941.0,2.2283185958862304,
1000,ijk,io,1,Individual,0.03766511202388082,0.17516646561737065,65121.0,4912.0,4912.0,7987.0,212053.0,2500216.0,135.0,437954.0,4344066.0,,0.004553318023681641
1000,ijk,io,2,Individual,0.0356313932092862,0.06763183692184402,66298.0,5042.0,5042.0,6371.0,178803.0,8819722.0,277.0,596494.0,4278854.0,,0.0040700435638427734
1000,ijk,io,3,Individual,0.034812942921496455,0.041424263041237364,72585.0,4957.0,4957.0,6337.0,182030.0,11048549.0,194.0,457678.0,4953279.0,,0.005358695983886719
1000,ijk,io,4,Individual,0.03727299034523882,0.37511573209356164,65246.0,4902.0,4902.0,8501.0,228074.0,1057399.0,118.0,396647.0,4240763.0,,0.00498509407043457
1000,ijk,io,5,Individual,0.04095564191781751,5.040315192233509,65211.0,4658.0,4658.0,13289.0,324473.0,746592.0,593.0,3763059.0,4463390.0,,0.00453948974609375
1000,ijk,io,AVG,Mean,0.03726761608354396,1.1399306979815045,66892.2,4894.2,4894.2,8497.0,225086.6,4834495.6,263.4,1130366.4,4456070.4,0.0047013282775878905,
1000,ikj,cpu,1,Individual,0.17374653539214485,4.06634090632763,73363522.0,1051130.0,1051130.0,36452789.0,209804408.0,9383852791.0,670.0,38157944463.0,2114614590.0,,2.121736764907837
1000,ikj,cpu,2,Individual,0.09610956346934854,4.0586782264278725,73057188.0,1051178.0,1051178.0,18222505.0,189601371.0,9398534168.0,963.0,38145625988.0,2129411389.0,,2.1029856204986572
1000,ikj,cpu,3,Individual,0.1862543935306121,4.054900222210168,74140544.0,1051253.0,1051253.0,37638302.0,202080076.0,9410758813.0,1011.0,38159688002.0,2118655733.0,,2.1022517681121826
1000,ikj,cpu,4,Individual,0.16704824102441954,4.056050093983277,73614275.0,1048065.0,1048065.0,34821713.0,208453036.0,9413703466.0,1494.0,38182452828.0,2131030656.0,,2.104011297225952
1000,ikj,cpu,5,Individual,0.1704132805679383,4.056664685941235,73235472.0,1051438.0,1051438.0,35661437.0,209264424.0,9404216103.0,1107.0,38149751364.0,2124409752.0,,2.104038953781128
1000,ikj,cpu,AVG,Mean,0.15871440279689267,4.058526826978037,73482200.2,1050612.8,1050612.8,32559349.2,203840663.0,9402213068.2,1049.0,38159092529.0,2123624424.0,2.1070048809051514,
1000,ikj,io,1,Individual,0.03590220774761003,0.08590742631855601,65277.0,4976.0,4976.0,6482.0,180546.0,7014283.0,289.0,602579.0,3965196.0,,0.0052683353424072266
1000,ikj,io,2,Individual,0.03567363192084146,0.21806385642432333,65204.0,4612.0,4612.0,8869.0,248615.0,1639052.0,93.0,357418.0,3776973.0,,0.004843711853027344
1000,ikj,io,3,Individual,0.0378723343501787,0.13692470005574994,65184.0,4918.0,4918.0,7958.0,210127.0,3252021.0,76.0,445282.0,4261171.0,,0.00455474853515625
1000,ikj,io,4,Individual,0.03479545078120687,0.340184469559464,65215.0,4967.0,4967.0,7563.0,217356.0,1242373.0,68.0,422636.0,4152738.0,,0.004472494125366211
1000,ikj,io,5,Individual,0.03824977605851577,0.14851648038789617,65267.0,5439.0,5439.0,6704.0,175269.0,4443251.0,303.0,659896.0,3991215.0,,0.004855632781982422
1000,ikj,io,AVG,Mean,0.03649868017167056,0.18591938654919787,65229.4,4982.4,4982.4,7515.2,206382.6,3518196.0,165.8,497562.2,4029458.6,0.004798984527587891,
1000,jik,cpu,1,Individual,0.42261593343451165,3.8735234993742194,1076313530.0,1054118.0,1054118.0,857420432.0,2028840761.0,9848206290.0,46420.0,38147258491.0,2250587005.0,,2.2284345626831055
1000,jik,cpu,2,Individual,0.42371118040116884,3.877420640145011,1075573601.0,1054729.0,1054729.0,863184043.0,2037199118.0,9842870304.0,27278.0,38164948475.0,2231654105.0,,2.2285594940185547
1000,jik,cpu,3,Individual,0.41946043632106195,3.8870236018045463,1074933606.0,1052836.0,1052836.0,846377060.0,2017775663.0,9822269206.0,23164.0,38179392227.0,2213312314.0,,2.2058560848236084
1000,jik,cpu,4,Individual,0.4213489744006226,3.887685755855071,1075566275.0,1049866.0,1049866.0,853060525.0,2024593809.0,9814661020.0,23983.0,38156317846.0,2240614180.0,,2.2265117168426514
1000,jik,cpu,5,Individual,0.4156876903082997,3.8914994823597824,1073446553.0,1055464.0,1055464.0,830312372.0,1997442771.0,9822211121.0,16474.0,38223129493.0,2217236354.0,,2.2099757194519043
1000,jik,cpu,AVG,Mean,0.4205648429731329,3.8834305959077264,1075166713.0,1053402.6,1053402.6,850070886.4,2021170424.4,9830043588.2,27463.8,38174209306.4,2230680791.6,2.2198675155639647,
1000,jik,io,1,Individual,0.039863032192344036,0.5720469715620957,65201.0,4936.0,4936.0,9744.0,244437.0,638514.0,545.0,365260.0,4652474.0,,0.0042362213134765625
1000,jik,io,2,Individual,0.047661783838481186,0.46248464445901655,65364.0,4670.0,4670.0,15826.0,332048.0,1505157.0,525.0,696112.0,3947753.0,,0.005369901657104492
1000,jik,io,3,Individual,0.0342244912967916,0.2810102912171071,65226.0,4649.0,4649.0,8842.0,258353.0,1220361.0,79.0,342934.0,3749752.0,,0.00469207763671875
1000,jik,io,4,Individual,0.03483866228352096,1.1684789269868308,66099.0,6196.0,6196.0,5691.0,163353.0,7016652.0,360.0,8198810.0,5145139.0,,0.005719423294067383
1000,jik,io,5,Individual,0.03754731952875056,0.08140994109208403,66501.0,5133.0,5133.0,7429.0,197857.0,5934177.0,170.0,483101.0,4777930.0,,0.004750251770019531
1000,jik,io,AVG,Mean,0.03882705782797767,0.5130861550634268,65678.2,5116.8,5116.8,9506.4,239209.6,3262972.2,335.8,2017243.4,4454609.6,0.004953575134277344,
1500,ijk,cpu,1,Individual,0.46551242289448724,3.7985216484052993,3642521037.0,2357751.0,2357751.0,3241973691.0,6964311867.0,33834947234.0,1836.0,128522779541.0,7686097505.0,,7.634199857711792
1500,ijk,cpu,2,Individual,0.4666422212017976,3.805237310683127,3645595110.0,2358241.0,2358241.0,3255908967.0,6977313280.0,33787961858.0,1896.0,128571213114.0,7709691422.0,,7.600749969482422
1500,ijk,cpu,3,Individual,0.4674202100694235,3.8071756341200045,3631059040.0,2360894.0,2360894.0,3258098512.0,6970384339.0,33791261754.0,972.0,128649268396.0,7692279943.0,,7.626500844955444
1500,ijk,cpu,4,Individual,0.4665233202916604,3.8116551237258136,3641607572.0,2363317.0,2363317.0,3251866175.0,6970425772.0,33753824520.0,7997.0,128657938177.0,7700221433.0,,7.6270246505737305
1500,ijk,cpu,5,Individual,0.46755560233657784,3.803038451175127,3640299028.0,2363178.0,2363178.0,3265794854.0,6984826698.0,33825970824.0,1937.0,128641467692.0,7712071458.0,,7.57546591758728
1500,ijk,cpu,AVG,Mean,0.4667307553587893,3.8051256336218744,3640216357.4,2360676.2,2360676.2,3254728439.8,6973452391.2,33798793238.0,2927.6,128608533384.0,7700072352.2,7.612788248062134,
1500,ijk,io,1,Individual,0.018312860108383632,3.1423835386919015,113424.0,7281.0,7281.0,2673.0,145963.0,17313132.0,611.0,54404501.0,9419655.0,,0.008427619934082031
1500,ijk,io,2,Individual,0.013765314849989448,2.4315652422336496,65196.0,6148.0,6148.0,4957.0,360108.0,17991720.0,228.0,43748041.0,7667008.0,,0.007951736450195312
1500,ijk,io,3,Individual,0.01839644964699292,2.0265313187530585,85251.0,5905.0,5905.0,7619.0,414156.0,18940521.0,2.0,38383559.0,7257229.0,,0.0075664520263671875
1500,ijk,io,4,Individual,0.01883155472706309,1.6498946056520571,115672.0,6196.0,6196.0,7415.0,393754.0,16986205.0,6.0,28025448.0,6698031.0,,0.007590770721435547
1500,ijk,io,5,Individual,0.01829105136943077,1.9722122644176818,88563.0,6072.0,6072.0,7246.0,396150.0,19593788.0,51.0,38643109.0,6942811.0,,0.00886678695678711
1500,ijk,io,AVG,Mean,0.01751944614037197,2.24451739394967,93621.2,6320.4,6320.4,5982.0,342026.2,18165073.2,179.6,40640931.6,7596946.8,0.008080673217773438,
1500,ikj,cpu,1,Individual,0.09666183697658921,4.061813203023521,239565731.0,2353959.0,2353959.0,57470584.0,594552988.0,31673002259.0,1276.0,128649818755.0,7150381458.0,,7.209092617034912
1500,ikj,cpu,2,Individual,0.09493372742814776,4.053852760414265,239055819.0,2357374.0,2357374.0,56392163.0,594016105.0,31754319850.0,2128.0,128727337179.0,7182946977.0,,7.155508995056152
1500,ikj,cpu,3,Individual,0.09832742356420802,4.050721964457116,239765461.0,2356212.0,2356212.0,58786207.0,597861765.0,31749161990.0,1182.0,128607027826.0,7281871126.0,,7.074620008468628
1500,ikj,cpu,4,Individual,0.09936063289141264,4.05486535770675,239459974.0,2355948.0,2355948.0,59460219.0,598428344.0,31738299845.0,769.0,128694532554.0,7277597112.0,,7.152118921279907
1500,ikj,cpu,5,Individual,0.09626511830032569,4.052942329462043,239606726.0,2357719.0,2357719.0,57353025.0,595782003.0,31748763439.0,1498.0,128675907250.0,7196016718.0,,7.09579062461853
1500,ikj,cpu,AVG,Mean,0.09710974783213666,4.054839123012739,239490742.2,2356242.4,2356242.4,57892439.6,596128241.0,31732709476.6,1370.6,128670924712.8,7217762678.2,7.137426233291626,
1500,ikj,io,1,Individual,0.010957086710173388,3.0666655624724304,24504.0,5982.0,5982.0,4179.0,381397.0,18233507.0,320.0,55916068.0,7359020.0,,0.00923013687133789
1500,ikj,io,2,Individual,0.012481363044091164,3.0862433890022083,14963.0,5829.0,5829.0,4914.0,393707.0,17835999.0,251.0,55046234.0,7995434.0,,0.00725555419921875
1500,ikj,io,3,Individual,0.01232077009458932,2.946171431424943,26538.0,5542.0,5542.0,4641.0,376681.0,20465991.0,385.0,60296318.0,8586963.0,,0.008105754852294922
1500,ikj,io,4,Individual,0.01899487435929491,1.4549126274098299,134252.0,6595.0,6595.0,7597.0,399950.0,14775057.0,4.0,21496417.0,6930467.0,,0.007942676544189453
1500,ikj,io,5,Individual,0.020639885315870066,1.1944536225760813,140822.0,6382.0,6382.0,7602.0,368316.0,16679139.0,221.0,19922458.0,7168104.0,,0.007498264312744141
1500,ikj,io,AVG,Mean,0.015078795904803769,2.3496893265770984,68215.8,6066.0,6066.0,5786.6,384010.2,17597938.6,236.2,42535499.0,7607997.6,0.008006477355957031,
1500,jik,cpu,1,Individual,0.41780042239233023,3.870672991814764,3636559017.0,2391709.0,2391709.0,2827705810.0,6768077911.0,33220298523.0,43683.0,128584912273.0,7561577759.0,,7.540700435638428
1500,jik,cpu,2,Individual,0.4283767630094679,3.8703732908295447,3639884047.0,2357180.0,2357180.0,2943869186.0,6872149566.0,33217290484.0,63550.0,128563313883.0,7663939806.0,,7.485151529312134
1500,jik,cpu,3,Individual,0.43109584820301566,3.8740011127575356,3639758576.0,2355309.0,2355309.0,2981387548.0,6915834519.0,33187143494.0,19166.0,128567030825.0,7654664424.0,,7.520752906799316
1500,jik,cpu,4,Individual,0.43015245597810275,3.8708615934447654,3633042579.0,2354004.0,2354004.0,2964350385.0,6891394769.0,33231077388.0,30587.0,128632901170.0,7657608469.0,,7.453648328781128
1500,jik,cpu,5,Individual,0.4319887551649257,3.8638661114002164,3634925733.0,2358409.0,2358409.0,2991746679.0,6925519804.0,33274711239.0,35433.0,128569029123.0,7680632974.0,,7.435716867446899
1500,jik,cpu,AVG,Mean,0.4278828489495684,3.8699550200493653,3636833990.4,2363322.2,2363322.2,2941811921.6,6874595313.8,33226104225.6,38483.8,128583437454.8,7643684686.4,7.487194013595581,
1500,jik,io,1,Individual,0.01705189656192674,2.0606420156152976,81304.0,5707.0,5707.0,7204.0,422475.0,18730479.0,32.0,38596812.0,7408473.0,,0.008141756057739258
1500,jik,io,2,Individual,0.016478635629385577,2.2028328957830565,77736.0,6130.0,6130.0,6437.0,390627.0,19555467.0,140.0,43077426.0,6866607.0,,0.008446455001831055
1500,jik,io,3,Individual,0.01651050014383759,2.329685877774667,73705.0,6151.0,6151.0,6428.0,389328.0,19359980.0,280.0,45102672.0,6840017.0,,0.00783085823059082
1500,jik,io,4,Individual,0.017130278575414052,3.2974260473105277,3982.0,6411.0,6411.0,5035.0,293924.0,17401835.0,613.0,57381264.0,8105351.0,,0.00718998908996582
1500,jik,io,5,Individual,0.019051953963196568,1.6440981928475549,118592.0,6385.0,6385.0,7325.0,384475.0,17031546.0,1.0,28001534.0,6674607.0,,0.007067680358886719
1500,jik,io,AVG,Mean,0.017244652974752105,2.306937005866221,71063.8,6156.8,6156.8,6485.8,376165.8,18415861.4,213.2,42431941.6,7179011.0,0.007735347747802735,
2000,ijk,cpu,1,Individual,0.46478005499479186,3.4032008819317805,8603518849.0,4194510.0,4194510.0,7567270626.0,16281401374.0,89487716106.0,1735.0,304544674374.0,20319142891.0,,20.05605959892273
2000,ijk,cpu,2,Individual,0.4627947406176065,3.4031405493422198,8607963256.0,4198878.0,4198878.0,7514912659.0,16238111628.0,89509753794.0,25914.0,304614272698.0,20201574040.0,,19.92624282836914
