N,Layout,Algorithm,Type,Repetition_ID,Run_Type,Perf_IPC,Perf_L1-dcache-load-misses,Perf_branch-misses,Perf_branches,Perf_cycles,Perf_dTLB-load-misses,Perf_instructions,Perf_task-clock,Gprof_Runtime_Mean_s,Gprof_Runtime_s
32000,array,merge,double,AVG,Mean,2.6713894897783956,95068.6,294066.2,294066.2,33374150.6,506.4,89185152.4,9391571.8,0.009756374359130859,
32000,list,insertion,int,1,Individual,0.49095528076302763,244037767.0,41379.0,41379.0,7287418191.0,1774.0,3577796444.0,1625260669.0,,1.5746686458587646
32000,list,insertion,int,2,Individual,0.48915004298271064,243801415.0,41889.0,41889.0,7292123865.0,1708.0,3566942702.0,1627557267.0,,1.5645778179168701
32000,list,insertion,int,3,Individual,0.49635617859937253,244126843.0,42097.0,42097.0,7183099862.0,1198.0,3565375998.0,1597901115.0,,1.552459716796875
32000,list,insertion,int,4,Individual,0.4941274231165785,244362202.0,44046.0,44046.0,7218636953.0,1523.0,3566926476.0,1607341999.0,,1.597876787185669
32000,list,insertion,int,5,Individual,0.5025323566770837,243995658.0,43952.0,43952.0,7097602665.0,2420.0,3566774994.0,1585650861.0,,1.591160774230957
32000,list,insertion,int,AVG,Mean,0.49462425642775465,244064777.0,42672.6,42672.6,7215776307.2,1724.6,3568763322.8,1608742382.2,1.5761487483978271,
32000,list,insertion,double,1,Individual,0.5046113511262006,247663656.0,78082.0,78082.0,7221576516.0,3633.0,3644089483.0,1614476873.0,,1.6132450103759766
32000,list,insertion,double,2,Individual,0.49787695294355355,247176706.0,78018.0,78018.0,7313475202.0,3519.0,3641210749.0,1632875982.0,,1.604426622390747
32000,list,insertion,double,3,Individual,0.49080538924483275,248493253.0,79223.0,79223.0,7415101826.0,2354.0,3639371938.0,1654600411.0,,1.6174287796020508
32000,list,insertion,double,4,Individual,0.5091584338838115,248185593.0,77328.0,77328.0,7150291123.0,1586.0,3640631030.0,1598554908.0,,1.6075658798217773
32000,list,insertion,double,5,Individual,0.4950601478138382,248367520.0,78510.0,78510.0,7349957576.0,2564.0,3638671084.0,1638893477.0,,1.5775299072265625
32000,list,insertion,double,AVG,Mean,0.4995024550024473,247977345.6,78232.2,78232.2,7290080448.6,2731.2,3640794856.8,1627880330.2,1.604039239883423,
32000,list,bubble,int,1,Individual,2.0727586599344288,509139924.0,31904362.0,31904362.0,9502508411.0,73141.0,19696406600.0,2147149864.0,,2.1259493827819824
32000,list,bubble,int,2,Individual,2.070327417298983,509271970.0,32368252.0,32368252.0,9517666903.0,40398.0,19704686738.0,2151153470.0,,2.128483295440674
32000,list,bubble,int,3,Individual,2.081786830579426,509200313.0,32171306.0,32171306.0,9460943547.0,71731.0,19695667681.0,2135042823.0,,2.133551597595215
32000,list,bubble,int,4,Individual,2.076090872632897,509539824.0,32010745.0,32010745.0,9486623954.0,39837.0,19695093403.0,2141119185.0,,2.1384294033050537
32000,list,bubble,int,5,Individual,2.075279999085651,509550826.0,31956159.0,31956159.0,9487405535.0,39777.0,19689022950.0,2137385132.0,,2.1238081455230713
32000,list,bubble,int,AVG,Mean,2.0752487559062773,509340571.4,32082164.8,32082164.8,9491029670.0,52976.8,19696175474.4,2142370094.8,2.130044364929199,
32000,list,bubble,double,1,Individual,1.6213971808288958,507257744.0,68518367.0,68518367.0,12103338158.0,43510.0,19624318368.0,2735011310.0,,2.742952823638916
32000,list,bubble,double,2,Individual,1.6905094291578353,507199164.0,55383497.0,55383497.0,11609315955.0,75712.0,19625658088.0,2628083326.0,,2.7132604122161865
32000,list,bubble,double,3,Individual,1.6217655141868166,507152956.0,68332346.0,68332346.0,12100952017.0,77128.0,19624906670.0,2723477802.0,,2.712658643722534
32000,list,bubble,double,4,Individual,1.6209606502740002,507296296.0,68485545.0,68485545.0,12104602304.0,76309.0,19621084022.0,2721925459.0,,2.684187889099121
32000,list,bubble,double,5,Individual,1.616436761159082,507320636.0,68649674.0,68649674.0,12138869773.0,79786.0,19621715340.0,2729942911.0,,2.702200174331665
32000,list,bubble,double,AVG,Mean,1.634213907121326,507245359.2,65873885.8,65873885.8,12011415641.4,70489.0,19623536497.6,2707688161.6,2.7110519886016844,
32000,list,merge,int,1,Individual,1.7902599411303652,731457.0,349442.0,349442.0,42154160.0,1756.0,75466904.0,11077143.0,,0.01096487045288086
32000,list,merge,int,2,Individual,1.6998886028755107,647553.0,361155.0,361155.0,43373651.0,2099.0,73730375.0,11301444.0,,0.011483430862426758
32000,list,merge,int,3,Individual,1.759941896731255,638763.0,348355.0,348355.0,44033323.0,2148.0,77496090.0,11941154.0,,0.012289762496948242
32000,list,merge,int,4,Individual,1.9509835464971415,713493.0,391997.0,391997.0,37781742.0,1626.0,73711557.0,10745450.0,,0.011358976364135742
32000,list,merge,int,5,Individual,1.888554753394263,672345.0,390043.0,390043.0,38495029.0,1857.0,72699970.0,11596216.0,,0.011587381362915039
32000,list,merge,int,AVG,Mean,1.8179257481257072,680722.2,368198.4,368198.4,41167581.0,1897.2,74620979.2,11332281.4,0.011536884307861327,
32000,list,merge,double,1,Individual,2.1772999699101523,788094.0,439450.0,439450.0,50631695.0,1455.0,110240388.0,13535654.0,,0.013604402542114258
32000,list,merge,double,2,Individual,2.1746256758040614,820939.0,467825.0,467825.0,52491731.0,1984.0,114149866.0,14093740.0,,0.013998746871948242
32000,list,merge,double,3,Individual,2.5309254891168425,786656.0,430987.0,430987.0,51626928.0,1898.0,130663908.0,14340914.0,,0.015056371688842773
32000,list,merge,double,4,Individual,2.180401428525413,713375.0,441188.0,441188.0,51721586.0,1126.0,112773820.0,13190356.0,,0.014325618743896484
32000,list,merge,double,5,Individual,2.2787312600854728,782230.0,436774.0,436774.0,50984224.0,1725.0,116179345.0,14720095.0,,0.015160083770751953
32000,list,merge,double,AVG,Mean,2.2683967646883887,778258.8,443244.8,443244.8,51491232.8,1637.6,116801465.4,13976151.8,0.014429044723510743,
64000,array,insertion,int,1,Individual,3.7670918314569,59021662.0,77027.0,77027.0,5997693738.0,1163.0,22593863088.0,1367524446.0,,1.3776378631591797
64000,array,insertion,int,2,Individual,3.7412348689718002,59360053.0,77936.0,77936.0,6039914558.0,1739.0,22596738950.0,1381920632.0,,1.3667142391204834
64000,array,insertion,int,3,Individual,3.720902708090447,58817612.0,78173.0,78173.0,6063046092.0,2159.0,22560004623.0,1390232297.0,,1.3456921577453613
64000,array,insertion,int,4,Individual,3.7819691591387166,58496772.0,77185.0,77185.0,5972590010.0,1038.0,22588151218.0,1361590347.0,,1.3386573791503906
