N,Layout,Algorithm,Type,Repetition_ID,Run_Type,Gprof_Runtime_Mean_s,Perf_IPC,Perf_L1-dcache-load-misses,Perf_branch-misses,Perf_branches,Perf_cycles,Perf_dTLB-load-misses,Perf_instructions,Perf_task-clock
128000,list,merge,int,AVG,Mean,0.05035805702209473,1.799054490402907,3722594.0,1838893.2,1838893.2,194463304.6,7151.4,349829954.6,48898159.4
128000,list,merge,double,AVG,Mean,0.06274871826171875,2.004014995188061,3895331.4,1996916.0,1996916.0,242192444.4,8803.4,485295761.2,60840922.6
256000,array,insertion,int,AVG,Mean,22.41262125968933,3.706415493993957,1022448984.0,331043.8,331043.8,97555478956.8,90243.0,361580614825.2,22641226304.0
256000,array,insertion,double,AVG,Mean,20.07932734489441,4.1667811039806315,2043889962.4,615789.8,615789.8,86481395546.2,138686.2,360277769616.8,20252405091.8
256000,array,bubble,int,AVG,Mean,105.32366366386414,2.0324133434441753,2051950880.8,8771670232.8,8771670232.8,476233534111.4,70103.0,967903248833.6,106208498870.6
256000,array,bubble,double,AVG,Mean,140.28467378616332,1.5341932548738897,4104909648.6,8843968600.0,8843968600.0,629884743022.6,228220.6,966364756857.2,141202653454.2
256000,array,merge,int,AVG,Mean,0.04748644828796387,2.3820523489245193,535943.2,2304455.8,2304455.8,199420392.4,1913.0,474955431.4,48522002.0
256000,array,merge,double,AVG,Mean,0.07171492576599121,2.5298288212579036,1089331.6,2570890.6,2570890.6,297978227.4,3449.2,753749285.8,71543907.2
256000,list,insertion,int,AVG,Mean,219.44255995750427,0.2261036909558442,16284810658.2,589172.4,589172.4,1026948444904.2,25825431.0,229066638602.2,226818043311.8
256000,list,insertion,double,AVG,Mean,206.49492139816283,0.2508883408067757,16362688399.6,834476.0,834476.0,920543429177.4,20155848.6,230347268947.6,201107012146.6
256000,list,bubble,int,AVG,Mean,207.25482339859008,1.4053781880679634,32661606202.0,8643635812.8,8643635812.8,899960118566.4,99136961.2,1258152497854.0,208048932589.6
256000,list,bubble,double,AVG,Mean,256.495937871933,1.128082837961092,32754187929.6,8837818776.0,8837818776.0,1117288953795.6,138876414.8,1260389270721.4,260374508418.8
256000,list,merge,int,AVG,Mean,0.12341628074645997,1.3885503199151734,8911714.4,3984581.6,3984581.6,522852586.2,80114.0,714081757.4,133645277.8
256000,list,merge,double,AVG,Mean,0.14112405776977538,1.7852866538368546,8802676.4,4298218.8,4298218.8,555260448.2,50502.8,990368262.8,136532292.0
