size,test_case,description,duration_ms,blocks_x,blocks_y,threads_x,threads_y
128x128,0,1_thread_per_block,0.365,128,128,1,1
128x128,1,16x16_threads,0.303,8,8,16,16
128x128,2,32x32_threads,0.471,4,4,32,32
128x128,3,8x8_threads,0.315,16,16,8,8
256x256,0,1_thread_per_block,0.559,256,256,1,1
256x256,1,16x16_threads,0.463,16,16,16,16
256x256,2,32x32_threads,0.468,8,8,32,32
256x256,3,8x8_threads,0.427,32,32,8,8
512x512,0,1_thread_per_block,1.594,512,512,1,1
512x512,1,16x16_threads,0.81,32,32,16,16
512x512,2,32x32_threads,0.94,16,16,32,32
512x512,3,8x8_threads,1.083,64,64,8,8
1024x1024,0,1_thread_per_block,2.788,1024,1024,1,1
1024x1024,1,16x16_threads,1.57,64,64,16,16
1024x1024,2,32x32_threads,1.585,32,32,32,32
1024x1024,3,8x8_threads,1.733,128,128,8,8
2048x2048,0,1_thread_per_block,9.254,2048,2048,1,1
2048x2048,1,16x16_threads,3.276,128,128,16,16
2048x2048,2,32x32_threads,3.201,64,64,32,32
2048x2048,3,8x8_threads,3.336,256,256,8,8
